LINEA,ESTACION,DESDE,TOTAL
LINEA_A,FLORES,18:45:00,108.297297297
LINEA_A,FLORES,19:00:00,106.184615385
LINEA_A,FLORES,19:15:00,96.7038461538
LINEA_A,FLORES,19:30:00,82.7335907336
LINEA_A,FLORES,19:45:00,75.6846153846
LINEA_A,FLORES,20:00:00,80.3807692308
LINEA_A,FLORES,20:15:00,67.5405405405
LINEA_A,FLORES,20:30:00,58.694980695
LINEA_A,FLORES,20:45:00,48.2751937984
LINEA_A,FLORES,21:00:00,50.2558139535
LINEA_A,FLORES,21:15:00,40.8069498069
LINEA_A,FLORES,21:30:00,33.2084942085
LINEA_A,FLORES,21:45:00,26.5846153846
LINEA_A,FLORES,22:00:00,21.9423076923
LINEA_A,FLORES,22:15:00,11.2062256809
LINEA_A,FLORES,22:30:00,2.2695035461
LINEA_A,FLORES,22:45:00,1.44230769231
LINEA_A,FLORES,23:00:00,1.4
LINEA_A,FLORES,23:15:00,1.0
LINEA_A,LIMA,05:00:00,3.51652892562
LINEA_A,LIMA,05:15:00,4.24279835391
LINEA_A,LIMA,05:30:00,5.72427983539
LINEA_A,LIMA,05:45:00,6.22727272727
LINEA_A,LIMA,06:00:00,10.5346938776
LINEA_A,LIMA,06:15:00,17.0081632653
LINEA_A,LIMA,06:30:00,26.7183673469
LINEA_A,LIMA,06:45:00,28.9754098361
LINEA_A,LIMA,07:00:00,43.6734693878
LINEA_A,LIMA,07:15:00,55.3211382114
LINEA_A,LIMA,07:30:00,61.9112903226
LINEA_A,LIMA,07:45:00,56.8262548263
LINEA_A,LIMA,08:00:00,59.6061776062
LINEA_A,LIMA,08:15:00,69.1467181467
LINEA_A,LIMA,08:30:00,75.0849420849
LINEA_A,LIMA,08:45:00,72.8416988417
LINEA_A,LIMA,09:00:00,75.1544401544
LINEA_A,LIMA,09:15:00,80.3976833977
LINEA_A,LIMA,09:30:00,85.3769230769
LINEA_A,LIMA,09:45:00,85.6718146718
LINEA_A,LIMA,10:00:00,88.9922779923
LINEA_A,LIMA,10:15:00,93.6846153846
LINEA_A,LIMA,10:30:00,100.656370656
LINEA_A,LIMA,10:45:00,100.992277992
LINEA_A,LIMA,11:00:00,106.359073359
LINEA_A,LIMA,11:15:00,108.826923077
LINEA_A,LIMA,11:30:00,113.868725869
LINEA_A,LIMA,11:45:00,122.189189189
LINEA_A,LIMA,12:00:00,127.211538462
LINEA_A,LIMA,12:15:00,123.007692308
LINEA_A,LIMA,12:30:00,125.796153846
LINEA_A,LIMA,12:45:00,124.996153846
LINEA_A,LIMA,13:00:00,146.515384615
